Date,Panel,Zone,Line Name,Product Slno,Part No,Target,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,Day Total
23-Sep-2026,1,1,M/C No.01/850,1,,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,41,580
23-Sep-2026,1,1,M/C No.02/660,10,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7844,0,7844
23-Sep-2026,1,1,M/C No.03/650,103,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,6450,8453
23-Sep-2026,1,2,M/C No.06/550,108,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0,394
23-Sep-2026,1,2,M/C No.07/450,114,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2621,0,2621
23-Sep-2026,1,2,M/C No.08/450,118,,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10087,0,10087
23-Sep-2026,1,3,M/C No.09/450,103,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19
23-Sep-2026,1,3,M/C No.10/450,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20
23-Sep-2026,1,3,M/C No.11/450,115,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21
